Name,Date Public,Founded,MarketValue,P/Q-1 Earnings Date,P/Q-1 % Variance,-10 Before Earnings,+10 Since Earnings,+20 Since Earnings,+30 Since Earnings,P/Q-2 Earnings Date,P/Q-2 % Variance,-10 Before Earnings,+10 Since Earnings,+20 Since Earnings,+30 Since Earnings,P/Q-3 Earnings Date,P/Q-3 % Variance,-10 Before Earnings,+10 Since Earnings,+20 Since Earnings,+30 Since Earnings,P/Q-4 Earnings Date,P/Q-4 % Variance,-10 Before Earnings,+10 Since Earnings,+20 Since Earnings,+30 Since Earnings,P/Q-5 Earnings Date,P/Q-5 % Variance,-10 Before Earnings,+10 Since Earnings,+20 Since Earnings,+30 Since Earnings,P/Q-6 Earnings Date,P/Q-6 % Variance,-10 Before Earnings,+10 Since Earnings,+20 Since Earnings,+30 Since Earnings
CMS Energy Corporation, 5/27/1987,1987,"$17,711.40",1/30/2020,-0.01,0.06,-0.03,0.01,0.12,10/24/2019,0.09,-0.05,-0.09,0.03,-0.02,7/25/2019,-8%,-0.02,0.06,0.04,-0.01,4/25/2019,-0.02,-0.02,0.01,0.07,-0.01,1/31/2019,-0.01,0.00,-0.01,0.01,0.02,10/25/2018,0.02,0.07,-0.06,0.09,0.05
"Dollar Tree, Inc.", 3/07/1995,1986,"$17,678.65",3/4/2020,0.02,0.01,-0.05,0.00,0.00,11/26/2019,-0.04,0.02,-0.04,-0.02,-0.02,8/29/2019,-3%,0.05,0.13,0.03,0.00,5/30/2019,0.00,-0.02,0.07,-0.01,0.01,3/6/2019,0.00,-0.04,-0.01,0.02,0.02,11/29/2018,0.03,-0.05,0.02,0.09,0.02
"Chipotle Mexican Grill, Inc.", 1/26/2006,1993,"$17,503.84",2/5/2020,0.04,0.02,0.07,-0.11,-0.13,10/23/2019,0.19,-0.01,-0.08,0.03,0.05,7/24/2019,7%,-0.02,0.07,0.03,-0.01,4/25/2019,0.13,-0.02,0.06,-0.04,0.04,2/7/2019,0.23,-0.03,-0.01,0.04,0.07,10/26/2018,0.07,-0.02,0.07,-0.01,0.03
"Cadence Design Systems, Inc.", 6/15/1987,1988,"$17,502.10",2/13/2020,0.01,0.02,-0.04,0.04,0.00,10/22/2019,0.06,-0.01,0.04,0.00,-0.04,7/23/2019,7%,-0.03,-0.03,-0.01,-0.02,4/23/2019,0.10,-0.01,0.05,-0.04,0.00,2/20/2019,0.10,0.04,0.07,0.04,0.04,10/23/2018,0.19,0.03,-0.05,-0.01,0.01
Corning Inc,11/05/1984,1851,"$17,410.72",1/29/2020,0.04,-0.08,-0.02,-0.05,0.02,10/29/2019,0.11,0.03,-0.04,-0.03,-0.04,7/30/2019,1%,0.02,-0.07,-0.02,0.06,4/30/2019,0.01,-0.05,-0.02,-0.01,0.03,1/29/2019,0.03,-0.01,-0.03,0.00,-0.02,10/23/2018,0.06,-0.06,0.06,-0.04,0.02
"Copart, Inc.", 3/17/1994,1982,"$17,256.78",2/20/2020,-0.02,-0.01,-0.04,-0.12,0.00,11/21/2019,0.10,0.03,-0.01,0.01,0.02,9/5/2019,4%,-0.02,0.01,0.00,-0.01,5/23/2019,0.06,-0.01,0.05,-0.03,-0.01,2/21/2019,0.03,0.01,0.04,-0.01,0.05,11/21/2018,0.00,-0.01,-0.05,0.06,0.01
Keysight Technologies Inc,10/20/2014,1937,"$17,245.96",2/25/2020,0.17,-0.01,0.09,-0.03,0.00,11/27/2019,0.13,-0.03,-0.01,-0.06,-0.03,8/22/2019,22%,0.03,-0.04,0.01,-0.01,5/30/2019,0.24,-0.13,0.03,0.02,0.02,2/22/2019,0.16,0.04,0.04,-0.01,0.02,11/21/2018,0.12,-0.03,0.03,0.06,0.08
"AMETEK, Inc.",11/05/1984,1930,"$17,092.65",2/5/2020,0.05,-0.01,-0.01,-0.01,-0.16,10/31/2019,0.05,0.01,0.04,0.01,-0.01,7/30/2019,3%,-0.03,-0.02,-0.01,0.01,5/1/2019,0.03,0.02,0.02,0.00,-0.02,2/5/2019,0.02,0.00,0.05,0.00,0.00,11/1/2018,0.05,-0.05,0.04,-0.02,0.02
Equifax Inc.,11/05/1984,1899,"$17,059.12",2/13/2020,0.02,-0.03,0.00,0.08,0.00,10/24/2019,0.02,-0.03,-0.05,0.02,-0.01,7/25/2019,3%,0.04,0.07,0.00,0.00,5/10/2019,0.00,-0.03,0.04,0.05,0.01,2/21/2019,0.04,-0.02,-0.01,0.02,0.06,10/25/2018,-0.01,-0.01,0.00,0.05,-0.03
Aptiv PLC,11/17/2011,2011,"$16,964.41",1/30/2020,0.13,0.01,0.00,-0.02,-0.06,10/30/2019,0.00,0.01,-0.02,0.01,0.01,7/31/2019,17%,0.02,-0.05,0.02,0.06,5/2/2019,0.04,-0.08,-0.06,-0.09,0.13,1/31/2019,0.11,0.03,-0.01,0.04,-0.03,10/31/2018,0.03,0.04,-0.02,-0.06,-0.03
Arthur J. Gallagher & Co.,11/05/1984,1927,"$16,953.52",1/31/2020,0.10,0.05,0.01,0.03,-0.13,10/25/2019,0.01,0.02,-0.01,0.00,0.02,7/26/2019,6%,0.00,0.01,0.00,-0.03,4/26/2019,0.01,0.04,0.02,0.03,0.02,2/1/2019,0.03,-0.02,0.01,-0.01,-0.01,10/26/2018,0.01,0.03,0.01,0.02,-0.01
"Stanley Black & Decker, Inc.",11/05/1984,1843,"$16,802.64",1/29/2020,0.00,0.01,0.00,-0.07,-0.06,10/24/2019,0.05,0.08,0.06,-0.03,0.01,7/23/2019,5%,-0.03,-0.05,-0.02,-0.06,4/24/2019,0.28,0.01,0.00,-0.05,0.01,1/22/2019,0.00,0.06,0.09,0.03,-0.02,10/25/2018,0.02,-0.09,0.08,0.04,-0.04
Microchip Technology Incorporated, 3/19/1993,1989,"$16,760.47",2/5/2020,0.05,-0.06,-0.02,-0.08,-0.21,11/6/2019,0.00,0.01,-0.06,0.06,0.03,8/7/2019,2%,-0.07,-0.01,-0.02,0.03,5/8/2019,0.06,-0.02,-0.10,0.02,-0.01,2/6/2019,0.06,0.07,-0.02,-0.04,0.00,11/8/2018,0.05,0.09,0.06,-0.04,0.03
First Republic Bank,12/09/2010,1985,"$16,582.35",1/14/2020,0.08,-0.03,-0.07,0.02,0.01,10/15/2019,0.08,0.01,0.02,0.00,-0.03,7/16/2019,-3%,-0.02,0.06,-0.04,-0.04,4/12/2019,0.03,-0.01,0.03,-0.03,0.01,1/15/2019,0.05,-0.08,0.00,0.01,0.03,10/12/2018,-0.01,0.01,-0.03,0.03,0.07
Weyerhaeuser Company,11/05/1984,1900,"$16,341.78",1/31/2020,-0.46,-0.03,0.01,-0.02,-0.20,10/25/2019,-0.19,0.07,0.00,-0.03,0.00,7/26/2019,67%,-0.03,-0.02,0.04,0.02,4/26/2019,0.26,-0.03,-0.05,-0.08,0.03,2/1/2019,-0.13,0.04,-0.07,-0.03,0.02,10/26/2018,-0.25,0.02,-0.03,0.03,-0.05
Marathon Petroleum Corporation, 6/23/2011,1887,"$16,198.02",1/29/2020,0.83,-0.11,0.07,-0.07,-0.36,10/31/2019,0.21,0.04,-0.01,-0.07,-0.04,8/1/2019,31%,0.04,-0.15,0.04,0.07,5/8/2019,-2.78,-0.01,-0.05,-0.07,0.04,2/7/2019,0.28,0.00,-0.01,-0.10,0.05,11/1/2018,0.00,-0.07,-0.08,-0.01,-0.02
Mettler-Toledo International Inc.,11/14/1997,1991,"$16,178.90",2/7/2020,0.01,-0.07,-0.05,0.07,0.00,11/8/2019,0.02,0.02,0.00,0.05,0.02,8/2/2019,2%,-0.07,-0.06,-0.03,0.06,5/10/2019,0.01,0.03,0.02,0.09,0.01,2/8/2019,0.02,0.05,0.01,0.00,0.03,11/9/2018,0.03,0.07,0.03,0.00,-0.01
Incyte Corporation,11/04/1993,1991,"$16,006.74",2/13/2020,0.43,-0.02,0.09,0.07,0.00,10/29/2019,0.33,0.01,0.01,0.07,0.01,7/30/2019,69%,-0.02,0.00,-0.01,-0.07,4/30/2019,0.78,-0.08,0.03,0.04,-0.06,2/14/2019,0.58,-0.01,0.03,-0.04,0.01,10/30/2018,-0.13,0.06,0.03,0.02,0.06
Discover Financial Services, 6/14/2007,1986,"$15,959.58",1/24/2020,0.00,0.02,-0.02,0.00,-0.10,10/23/2019,0.03,0.04,0.01,-0.02,0.00,7/24/2019,10%,0.04,-0.04,-0.06,0.01,4/26/2019,0.06,0.03,0.00,-0.01,-0.01,1/25/2019,-0.01,0.04,0.00,0.01,0.00,10/26/2018,0.00,-0.01,0.00,0.04,-0.09
Northern Trust Corporation,11/05/1984,1889,"$15,913.31",1/22/2020,-0.02,0.01,-0.02,-0.02,-0.11,10/23/2019,0.03,0.08,0.03,-0.01,0.01,7/24/2019,5%,0.03,-0.07,-0.03,0.02,4/23/2019,0.01,-0.04,0.03,-0.03,-0.06,1/23/2019,0.10,0.03,-0.03,0.01,-0.02,10/17/2018,-0.02,0.00,0.03,0.02,0.00
"Nasdaq, Inc.", 7/01/2002,1971,"$15,849.40",1/29/2020,0.02,0.04,-0.04,0.06,-0.01,10/23/2019,0.05,-0.03,-0.04,0.05,-0.01,7/24/2019,2%,-0.02,0.02,0.02,0.01,4/24/2019,0.05,0.00,0.04,0.00,0.06,1/30/2019,0.00,0.04,-0.01,0.03,-0.09,10/24/2018,0.01,0.01,0.05,0.02,0.01
"Best Buy Co., Inc.", 4/18/1985,1966,"$15,800.95",2/27/2020,0.06,-0.01,-0.13,0.10,0.00,11/26/2019,0.09,-0.04,0.03,0.02,0.02,8/29/2019,9%,0.01,0.03,0.03,0.02,5/23/2019,0.18,-0.05,-0.05,0.04,0.06,2/27/2019,0.06,0.00,-0.01,0.04,0.03,11/20/2018,0.09,-0.11,-0.04,-0.11,0.08
Fox Corporation Class A, 2/28/2019,2018,"$15,666.93",2/6/2020,-5.90,-0.02,-0.03,-0.09,-0.09,11/7/2019,0.19,-0.03,0.01,-0.02,0.03,8/8/2019,5%,0.06,-0.05,0.02,-0.06,5/9/2019,0.14,0.00,-0.03,-0.10,0.04,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
LyondellBasell Industries NV, 4/28/2010,2013,"$15,623.72",1/31/2020,-0.19,-0.08,0.01,-0.01,-0.37,11/1/2019,-0.06,0.02,0.01,-0.03,-0.01,8/2/2019,-4%,-0.04,-0.01,0.03,0.13,4/26/2019,0.01,-0.02,-0.04,-0.04,0.05,2/1/2019,-0.21,-0.01,-0.04,-0.04,0.02,10/30/2018,0.11,-0.05,0.02,-0.01,-0.06
"Church & Dwight Co., Inc.",11/05/1984,1846,"$15,555.16",1/31/2020,0.00,0.01,-0.02,0.07,-0.16,10/31/2019,0.08,0.01,-0.05,0.02,-0.01,7/31/2019,9%,0.01,0.08,0.02,-0.14,5/2/2019,0.06,0.00,0.00,0.05,-0.01,2/5/2019,-0.02,-0.06,0.05,0.01,-0.01,11/1/2018,0.07,0.05,0.02,0.00,0.06
"CBRE Group, Inc. Class A", 6/10/2004,1906,"$15,527.61",2/27/2020,-0.02,-0.03,-0.05,0.04,0.00,11/6/2019,0.01,0.05,0.03,0.04,0.01,8/1/2019,6%,0.02,-0.04,0.00,0.02,5/8/2019,0.29,-0.01,-0.04,0.02,0.01,2/13/2019,0.08,0.03,0.00,0.00,-0.02,11/1/2018,0.04,0.05,0.02,0.00,-0.02
"Cooper Companies, Inc.",11/05/1984,1958,"$15,521.29",3/6/2020,-0.01,0.02,-0.13,0.00,0.00,12/6/2019,0.01,0.02,0.02,0.01,0.08,8/30/2019,2%,-0.05,-0.05,-0.01,-0.01,5/31/2019,0.06,0.01,0.03,0.03,-0.04,3/6/2019,0.15,0.02,0.01,0.00,-0.07,12/7/2018,-0.03,0.04,0.06,0.01,0.03
Tiffany & Co., 5/05/1987,1837,"$15,497.63",12/5/2019,-0.24,0.08,-0.03,-0.01,-0.02,8/28/2019,0.07,-0.04,0.09,-0.05,-0.02,6/4/2019,1%,-0.02,-0.05,-0.01,0.01,1/18/2019,0.01,-0.01,-0.04,0.00,0.05,11/28/2018,0.00,-0.02,-0.06,0.01,0.04,8/28/2018,0.16,-0.04,-0.05,0.03,-0.11
"Align Technology, Inc.", 1/26/2001,1997,"$15,426.14",1/30/2020,0.24,-0.09,0.01,-0.08,-0.01,10/24/2019,0.13,0.12,0.01,0.04,0.00,7/25/2019,27%,-0.05,-0.04,-0.05,-0.04,4/25/2019,0.05,0.02,0.11,-0.03,-0.02,1/30/2019,0.04,0.12,0.05,0.01,-0.05,10/25/2018,0.04,-0.03,0.02,-0.05,-0.01
"Hartford Financial Services Group, Inc.",12/18/1995,1810,"$15,232.88",2/4/2020,0.09,0.01,-0.02,0.00,-0.21,11/5/2019,0.21,-0.06,0.01,-0.02,-0.02,8/2/2019,17%,0.00,0.03,-0.02,0.00,5/2/2019,0.12,-0.01,0.04,0.03,-0.01,2/5/2019,0.36,-0.01,0.00,-0.01,-0.02,10/26/2018,0.09,-0.02,-0.01,0.00,-0.06
Campbell Soup Company,11/05/1984,1922,"$14,869.99",3/4/2020,0.07,0.10,-0.07,0.00,0.00,12/4/2019,0.09,0.00,-0.03,0.00,-0.04,8/30/2019,19%,0.00,0.01,0.02,0.00,6/5/2019,0.19,0.00,-0.05,-0.01,0.00,2/27/2019,0.10,-0.07,-0.03,0.08,0.00,11/20/2018,0.12,0.03,-0.08,0.07,-0.13
Synchrony Financial, 7/31/2014,2003,"$14,803.20",1/24/2020,0.12,0.00,0.01,0.00,-0.07,10/18/2019,0.08,0.02,0.01,0.02,0.00,7/19/2019,2%,0.02,0.02,-0.03,-0.05,4/18/2019,0.12,0.02,0.02,0.04,-0.01,1/23/2019,0.20,0.01,-0.01,0.04,0.00,10/19/2018,0.10,-0.01,-0.14,-0.03,-0.02
Teleflex Incorporated,11/05/1984,1943,"$14,763.22",2/20/2020,0.02,0.00,-0.01,-0.06,0.00,10/31/2019,0.08,0.00,-0.03,0.02,0.01,8/1/2019,3%,0.02,0.05,-0.04,-0.12,5/2/2019,0.03,-0.05,0.02,0.00,0.06,2/21/2019,0.00,0.03,0.05,0.03,-0.02,11/1/2018,0.04,0.00,-0.01,0.05,-0.03
Garmin Ltd.,12/08/2000,1989,"$14,747.73",2/19/2020,0.23,-0.05,-0.02,-0.17,0.00,10/30/2019,0.32,0.00,-0.02,0.00,-0.01,7/31/2019,15%,-0.06,0.02,0.03,0.02,5/1/2019,0.03,-0.05,0.01,0.00,0.00,2/20/2019,0.27,0.00,0.01,-0.01,0.03,10/31/2018,0.31,0.04,-0.03,0.01,0.04
Cincinnati Financial Corporation,11/05/1984,1968,"$14,736.10",2/6/2020,0.10,0.00,-0.01,-0.01,-0.08,10/25/2019,0.22,-0.03,-0.05,-0.03,0.00,7/31/2019,32%,-0.03,0.04,0.02,-0.02,4/25/2019,0.21,0.01,0.03,0.06,0.01,2/7/2019,0.17,-0.01,-0.01,0.00,-0.02,10/26/2018,0.15,-0.01,0.02,0.02,0.00
Laboratory Corporation of America Holdings, 7/07/1988,1971,"$14,694.25",2/13/2020,0.02,0.01,0.02,-0.05,0.00,10/24/2019,0.02,-0.01,-0.02,0.02,0.00,7/25/2019,0%,0.01,-0.02,0.03,0.01,4/30/2019,0.03,-0.03,0.06,0.02,-0.02,2/7/2019,0.01,0.00,-0.02,0.00,0.04,10/24/2018,-0.04,0.03,0.04,0.00,-0.11
M&T Bank Corporation,11/05/1984,1856,"$14,654.40",1/23/2020,0.04,-0.05,0.00,-0.01,-0.15,10/17/2019,-0.03,0.03,0.02,0.02,-0.01,7/18/2019,-10%,0.00,-0.03,-0.04,-0.01,4/15/2019,0.02,0.04,0.02,-0.01,0.03,1/17/2019,0.08,0.02,-0.02,0.02,0.00,10/17/2018,0.06,0.00,0.06,0.00,0.01
"Healthpeak Properties, Inc.", 5/23/1985,1985,"$14,586.19",2/12/2020,0.30,-0.03,0.01,-0.07,0.15,10/31/2019,-2.72,-0.02,-0.12,0.01,-0.08,8/1/2019,-122%,-0.02,0.08,-0.01,-0.06,5/2/2019,-0.29,0.00,0.05,0.05,-0.04,2/14/2019,2.69,-0.03,-0.04,0.02,0.00,10/31/2018,0.85,0.11,0.03,0.00,0.05
Vulcan Materials Company,11/05/1984,1909,"$14,533.00",2/18/2020,-0.08,-0.01,0.04,-0.14,0.00,11/6/2019,-0.01,-0.06,0.01,0.02,-0.04,7/25/2019,1%,0.00,0.06,0.03,-0.01,5/2/2019,0.30,0.00,0.02,0.00,0.01,2/14/2019,0.12,0.02,-0.02,-0.01,0.05,10/30/2018,0.02,-0.11,0.04,0.02,-0.05
CDW Corp., 6/27/2013,1984,"$14,462.80",2/6/2020,0.06,-0.01,0.00,-0.06,-0.09,10/31/2019,0.08,0.01,0.02,0.00,0.01,7/31/2019,5%,-0.01,-0.02,0.00,-0.02,5/1/2019,0.12,-0.04,-0.01,0.01,0.00,2/7/2019,0.09,0.01,0.02,-0.02,0.02,10/31/2018,0.06,0.00,-0.03,0.05,0.00
"Mid-America Apartment Communities, Inc.", 1/28/1994,1994,"$14,398.20",1/30/2020,0.79,0.04,0.02,0.02,0.07,10/31/2019,-0.09,0.01,-0.04,-0.02,-0.05,8/1/2019,-9%,-0.02,0.06,0.00,-0.03,5/2/2019,0.28,0.02,0.05,0.05,-0.02,1/31/2019,0.27,0.04,0.01,-0.03,0.04,11/1/2018,0.17,0.03,0.01,0.04,0.01
"D.R. Horton, Inc.", 6/05/1992,1978,"$14,398.11",1/27/2020,0.27,0.09,0.00,0.01,-0.04,11/12/2019,0.08,0.00,0.00,0.01,-0.08,7/30/2019,19%,-0.03,0.06,0.04,-0.04,4/25/2019,0.08,0.06,0.00,0.02,0.03,1/25/2019,-0.03,-0.05,-0.01,0.05,0.01,11/8/2018,0.01,0.03,0.11,0.00,0.03
"W.W. Grainger, Inc.",11/05/1984,1927,"$14,273.57",1/30/2020,-0.03,-0.04,-0.05,0.03,0.05,10/23/2019,-0.03,0.09,0.00,-0.04,0.01,7/24/2019,0%,0.04,-0.05,-0.01,-0.01,4/22/2019,0.02,-0.03,-0.05,0.00,0.01,1/24/2019,0.10,0.04,0.03,0.00,-0.04,10/16/2018,0.05,-0.05,0.06,0.03,0.04
"Fortinet, Inc.",11/18/2009,2000,"$14,256.64",2/7/2020,0.08,0.01,-0.04,-0.05,-0.05,11/1/2019,0.20,0.02,0.11,0.02,0.01,8/2/2019,15%,-0.07,-0.05,-0.03,-0.02,5/3/2019,0.19,-0.02,-0.01,-0.12,0.02,2/7/2019,0.14,0.10,0.06,-0.05,0.04,11/2/2018,0.16,0.03,0.01,0.00,0.02
"Old Dominion Freight Line, Inc.",10/24/1991,1934,"$14,180.49",2/6/2020,0.01,0.02,0.02,0.00,-0.10,10/24/2019,-0.03,0.08,0.03,-0.03,-0.05,7/25/2019,3%,0.14,0.06,-0.02,-0.02,4/25/2019,0.05,0.04,-0.02,-0.03,-0.04,2/7/2019,0.11,0.03,0.03,-0.04,-0.02,10/25/2018,0.07,-0.06,0.07,0.00,0.00
"Skyworks Solutions, Inc.",11/05/1984,1962,"$14,122.87",1/24/2020,0.01,0.05,-0.08,0.01,-0.06,11/13/2019,0.01,0.09,-0.04,0.11,0.08,8/8/2019,0%,-0.03,-0.04,0.02,0.00,5/3/2019,0.03,-0.01,-0.17,-0.01,0.03,1/9/2019,-0.04,-0.06,0.01,0.14,-0.02,11/9/2018,0.01,-0.02,-0.04,-0.02,0.04
"Ameriprise Financial, Inc.", 9/15/2005,1894,"$13,968.52",1/30/2020,-0.02,-0.01,0.02,-0.09,-0.11,10/24/2019,0.04,0.06,0.03,0.00,0.03,7/25/2019,1%,0.01,-0.06,-0.04,0.03,4/25/2019,0.03,0.04,0.00,0.03,0.02,1/31/2019,-0.05,0.02,-0.01,0.02,-0.03,10/24/2018,0.02,-0.06,0.00,0.01,-0.06
"Citrix Systems, Inc.",12/08/1995,1989,"$13,908.45",1/23/2020,0.01,0.03,-0.06,-0.05,0.12,10/24/2019,0.22,0.04,0.00,0.02,-0.04,7/25/2019,-9%,0.00,-0.01,0.01,0.00,4/25/2019,0.07,-0.03,-0.01,0.00,-0.01,1/24/2019,0.04,0.02,0.01,-0.03,-0.03,10/25/2018,0.12,0.00,0.01,0.06,0.01
Lennar Corporation Class A,11/05/1984,1954,"$13,901.35",1/8/2020,0.12,0.00,0.15,0.01,0.04,10/2/2019,0.21,0.07,0.02,-0.04,-0.03,6/25/2019,13%,-0.04,-0.02,-0.04,0.11,3/27/2019,-0.02,0.02,-0.05,0.00,0.02,1/9/2019,0.25,0.03,-0.05,0.00,0.05,10/3/2018,0.16,-0.10,-0.03,0.03,-0.03
"Cardinal Health, Inc.",11/05/1984,1971,"$13,894.75",2/6/2020,0.24,-0.05,0.03,-0.03,-0.07,11/7/2019,0.16,0.00,0.03,-0.02,-0.07,8/8/2019,20%,0.00,0.00,0.02,0.05,5/9/2019,0.11,0.08,-0.07,-0.06,0.00,2/7/2019,0.19,0.00,-0.02,-0.11,0.00,11/8/2018,0.20,0.02,0.00,0.00,-0.08
"Akamai Technologies, Inc.",10/29/1999,1998,"$13,878.14",2/12/2020,0.09,-0.01,0.03,0.06,0.07,10/29/2019,0.10,-0.03,-0.06,0.03,-0.06,7/31/2019,7%,0.00,0.00,0.03,-0.01,5/1/2019,0.08,0.03,-0.03,0.02,-0.01,2/13/2019,0.07,0.04,-0.02,0.03,-0.02,10/30/2018,0.13,0.02,-0.06,0.00,0.00
Omnicom Group Inc,11/05/1984,1944,"$13,643.17",2/11/2020,0.02,-0.03,0.01,-0.02,0.01,10/15/2019,0.01,-0.04,0.01,0.01,-0.01,7/17/2019,5%,-0.01,-0.02,-0.01,-0.02,4/16/2019,0.09,0.03,-0.03,0.03,0.00,2/12/2019,0.07,-0.06,0.00,-0.01,-0.02,10/16/2018,0.03,0.08,0.05,0.00,0.01
"Arista Networks, Inc.", 6/06/2014,2004,"$13,518.43",2/14/2020,0.09,0.00,-0.04,-0.10,0.00,11/1/2019,0.12,0.00,0.02,0.00,0.00,8/2/2019,11%,0.00,-0.08,0.01,0.05,5/3/2019,0.12,-0.06,-0.07,0.00,-0.07,2/15/2019,0.09,0.10,0.07,0.04,0.05,11/2/2018,0.14,0.04,-0.08,0.00,-0.04
"Evergy, Inc.",11/05/1984,2017,"$13,393.28",3/2/2020,0.03,0.03,-0.15,0.00,0.00,11/7/2019,0.00,-0.03,0.02,-0.04,0.00,8/8/2019,4%,0.05,0.06,-0.04,0.03,5/9/2019,0.08,0.02,0.06,0.00,-0.01,2/22/2019,-0.66,0.03,0.02,0.02,-0.05,11/8/2018,0.06,-0.06,0.09,0.03,0.04
"Paycom Software, Inc.", 4/15/2014,1998,"$13,335.68",2/6/2020,0.11,0.06,0.03,0.00,-0.15,10/30/2019,0.04,-0.07,0.05,0.21,-0.10,7/31/2019,8%,-0.05,0.01,0.07,-0.20,5/1/2019,0.07,0.05,0.04,0.04,0.01,2/6/2019,0.10,0.11,0.04,-0.01,0.04,10/31/2018,0.01,0.00,-0.02,0.05,0.04
"Take-Two Interactive Software, Inc.", 4/15/1997,1993,"$13,227.51",2/7/2020,-0.05,-0.02,0.03,0.16,0.02,11/8/2019,0.13,-0.09,0.02,0.00,-0.01,8/6/2019,493%,0.04,0.05,0.00,-0.05,5/14/2019,0.04,0.07,0.05,-0.02,0.02,2/6/2019,0.04,-0.04,-0.07,0.02,0.09,11/8/2018,0.13,0.07,-0.05,-0.01,0.05
Baker Hughes Company Class A, 4/03/1987,1987,"$13,123.84",1/22/2020,-0.14,-0.13,-0.04,-0.07,-0.08,10/30/2019,-0.11,-0.03,-0.02,0.02,0.05,7/31/2019,6%,0.01,-0.09,-0.03,0.00,4/30/2019,0.14,-0.03,-0.04,-0.01,-0.01,1/31/2019,-0.01,0.01,0.07,0.03,0.02,10/30/2018,-0.08,-0.10,-0.14,-0.05,-0.01
International Paper Company,11/05/1984,1898,"$13,112.66",1/30/2020,0.07,-0.02,0.00,-0.03,0.00,10/31/2019,0.10,0.00,0.02,0.00,-0.01,7/25/2019,15%,0.01,-0.09,-0.05,0.00,4/25/2019,0.22,-0.08,0.02,-0.04,0.02,1/31/2019,0.04,0.03,-0.04,-0.03,-0.02,10/25/2018,0.07,-0.04,0.04,0.02,-0.02
Dover Corporation,11/05/1984,1947,"$13,097.77",1/30/2020,0.06,0.00,-0.02,-0.02,-0.03,10/17/2019,0.06,-0.02,0.01,0.03,0.01,7/18/2019,2%,-0.07,-0.02,-0.02,0.01,4/18/2019,0.12,0.00,0.00,-0.02,0.01,1/29/2019,0.11,0.00,0.00,-0.01,0.00,10/18/2018,0.06,-0.03,0.01,0.04,-0.02
Extra Space Storage Inc., 8/12/2004,2004,"$13,090.24",2/19/2020,0.05,0.01,0.10,-0.12,0.00,10/30/2019,0.04,-0.03,-0.07,-0.01,-0.04,7/31/2019,10%,0.00,0.10,0.01,-0.08,5/1/2019,0.07,0.01,0.03,0.01,-0.02,2/21/2019,0.06,-0.04,0.06,0.00,-0.01,10/31/2018,0.50,0.09,0.03,0.00,0.08
"Maxim Integrated Products, Inc.", 2/29/1988,1983,"$13,081.77",1/29/2020,0.05,0.01,0.01,-0.01,-0.03,10/30/2019,0.06,-0.01,-0.02,-0.04,0.03,7/31/2019,0%,0.04,-0.07,-0.01,0.09,5/1/2019,0.00,0.00,-0.06,-0.01,0.05,1/30/2019,-0.03,0.05,-0.01,-0.03,-0.04,10/31/2018,0.00,-0.02,0.03,0.06,0.00
MarketAxess Holdings Inc.,11/05/2004,2000,"$13,009.90",1/29/2020,0.02,-0.02,-0.08,0.11,0.11,10/23/2019,0.02,-0.05,-0.01,0.15,-0.06,7/24/2019,-4%,0.06,0.09,0.10,0.04,4/24/2019,0.01,0.00,0.08,0.05,0.12,1/30/2019,0.05,0.01,0.06,0.06,-0.06,10/24/2018,0.09,0.07,-0.06,0.09,0.05
Xylem Inc.,10/13/2011,2011,"$12,997.68",2/6/2020,0.00,0.06,0.07,0.03,-0.11,10/31/2019,0.00,0.06,-0.02,0.00,-0.01,8/1/2019,0%,-0.01,-0.01,-0.01,0.00,5/2/2019,-0.08,0.00,-0.03,0.02,0.04,1/31/2019,0.00,0.02,0.00,0.03,0.00,10/30/2018,0.00,-0.02,0.04,0.02,-0.04
Quest Diagnostics Incorporated,12/17/1996,1969,"$12,914.45",1/30/2020,0.04,0.04,-0.03,0.07,0.00,10/22/2019,0.03,-0.05,-0.03,0.02,0.02,7/23/2019,3%,-0.05,0.00,0.02,0.00,4/23/2019,0.03,-0.07,0.07,0.01,0.01,2/14/2019,-0.01,0.01,-0.01,0.02,0.01,10/23/2018,0.00,0.03,0.00,0.03,-0.08
"Leidos Holdings, Inc.",10/13/2006,1969,"$12,780.13",2/18/2020,0.12,0.07,0.00,-0.17,0.00,10/29/2019,0.14,-0.04,0.01,0.00,0.01,7/30/2019,4%,0.01,0.03,0.03,-0.04,4/30/2019,0.13,0.01,0.05,0.02,0.02,2/19/2019,0.03,0.04,0.02,-0.02,-0.01,10/25/2018,0.02,-0.01,0.04,0.02,-0.06
Seagate Technology PLC,12/11/2002,1978,"$12,768.58",2/5/2020,0.03,-0.03,-0.01,0.02,-0.03,11/1/2019,0.05,0.04,0.01,0.00,-0.03,8/2/2019,3%,-0.01,0.04,0.08,0.08,4/30/2019,0.16,-0.11,-0.04,0.00,-0.04,2/5/2019,0.11,0.11,0.00,0.01,-0.02,11/2/2018,0.10,-0.01,-0.03,0.01,-0.08
